District,Province,Physiographic_Region,Elevation_Range_m,Climate_Zone,Feasible_Crops,Feasible_Vegetables,Feasible_Fruits,Feasible_Spices_Cash_Crops,Reasoning_For_Feasibility
Bhojpur,Koshi,Hill,1000-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Tea (Orthodox), Coffee, Ginger, Turmeric, Cardamom, Honey","Eastern mid-hills; 1000-2500m; tea producing district; subtropical to temperate; suitable for tea, cardamom, and temperate fruits."
Dhankuta,Koshi,Hill,1000-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Tea (Orthodox), Cardamom (Large), Ginger, Turmeric, Honey",Eastern mid-hills; 1000-2000m; tea producing district; subtropical climate; famous for oranges and tea; good for ginger and turmeric.
Ilam,Koshi,Hill,1000-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Kiwi, Avocado","Tea (Orthodox - major), Cardamom (Large), Ginger, Turmeric, Coffee, Szechuan Pepper, Perilla Seeds, Honey","Eastern mid-hills; famous for orthodox tea (major producer); 1000-2000m; high rainfall; cool subtropical climate; ideal for tea, cardamom, citrus and temperate fruits; significant honey production."
Jhapa,Koshi,Terai,59-300,Tropical (Lower),"Paddy, Maize, Wheat, Jute, Sugarcane, Lentil, Mung Bean, Sesame","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Bottle Gourd, Bitter Gourd, Ridge Gourd, Spinach, Radish, Onion, Garlic, Chili, Coriander","Mango, Banana, Litchi, Jackfruit, Papaya, Guava, Lemon, Sweet Lime, Coconut, Betel Nut","Ginger, Turmeric, Cardamom (small), Tea (CTC), Mustard, Sunflower","Low-lying tropical Terai with fertile alluvial soil; highest rainfall in eastern Nepal (2500mm+); warm temperatures year-round; excellent for tropical fruits, rice, and jute. Proximity to Indian border aids trade."
Khotang,Koshi,Hill,1000-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Coffee, Ginger, Turmeric, Cardamom, Honey",Eastern mid-hills; 1000-2500m; subtropical to temperate; suitable for diverse hill crops and fruits.
Morang,Koshi,Terai,72-300,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Coriander, Peas, Beans","Mango, Banana, Litchi, Jackfruit, Papaya, Guava, Lemon, Orange","Ginger, Turmeric, Tea (CTC), Mustard, Sunflower",Eastern Terai with Indo-Gangetic plain soil; good irrigation from Koshi River system; major industrial and trade hub (Biratnagar); ideal for commercial vegetable and fruit production.
Okhaldhunga,Koshi,Hill,1000-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Ginger, Turmeric, Cardamom, Honey","Eastern mid-hills; 1000-2500m; subtropical to temperate; good for hill cereals, vegetables and fruits."
Panchthar,Koshi,Hill,1000-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Tea (Orthodox), Cardamom (Large), Coffee, Ginger, Turmeric, Honey","Eastern mid-hills; tea producing district; 1000-2000m; subtropical climate; suitable for tea, cardamom and citrus fruits."
Sankhuwasabha,Koshi,Hill/Mountain,1000-3500,Subtropical to Subalpine,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple, Walnut","Tea (Orthodox), Cardamom (Large), Coffee, Ginger, Turmeric, Honey, Medicinal Herbs",Eastern high hills; Makalu region; 1000-3500m; tea and cardamom production; suitable for diverse temperate and subtropical crops.
Solukhumbu,Koshi,Hill/Mountain,1500-4000,Temperate to Subalpine,"Paddy (cold-tolerant), Maize, Wheat, Millet, Barley, Buckwheat, Amaranth, Potato","Cauliflower, Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Carrot, Turnip, Cole Crops","Apple, Peach, Plum, Pear, Persimmon, Walnut","Cardamom (Large), Ginger, Turmeric, Honey, Medicinal Herbs, Szechuan Pepper","High hills and mountains; Everest region; 1500-4000m; highest citrus producer nationally (1,449 MT); cold-tolerant rice and maize; suitable for apples, potatoes, buckwheat and high-value mountain crops."
